Col,Row,Name,Endpoint,Pollutant,Author,Race,Ethnicity,Start Age,End Age,Version,Point Estimate,Mean,Percentile 2.5,Percentile 97.5,Formatted Results [2 s.f.],Formatted Results [3 s.f.]
1,75,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01282199,-0.01270273,-0.0317010842263699,0.00667813047766685,"-0.013
(-0.032 to 0.0067)","-0.0128
(-0.0317 to 0.00668)"
1,77,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03357957,-0.03326726,-0.0830221474170685,0.0174893885850906,"-0.034
(-0.083 to 0.017)","-0.0336
(-0.0830 to 0.0175)"
1,79,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.0228558,-0.02264322,-0.0565086752176285,0.0119040813297033,"-0.023
(-0.057 to 0.012)","-0.0229
(-0.0565 to 0.0119)"
1,81,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.2282743,-0.2261511,-0.564385294914246,0.118893042206764,"-0.23
(-0.56 to 0.12)","-0.228
(-0.564 to 0.119)"
1,83,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04306493,-0.04266439,-0.106473758816719,0.0224296897649765,"-0.043
(-0.11 to 0.022)","-0.0431
(-0.106 to 0.0224)"
1,85,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03730218,-0.03695523,-0.0922259092330933,0.019428251311183,"-0.037
(-0.092 to 0.019)","-0.0373
(-0.0922 to 0.0194)"
1,87,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05903339,-0.05848432,-0.145954161882401,0.0307466089725494,"-0.059
(-0.15 to 0.031)","-0.0590
(-0.146 to 0.0307)"
1,89,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.3796683,-0.3761371,-0.938691973686218,0.197744250297546,"-0.38
(-0.94 to 0.20)","-0.380
(-0.939 to 0.198)"
1,91,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05436477,-0.05385913,-0.134411454200745,0.0283150337636471,"-0.054
(-0.13 to 0.028)","-0.0544
(-0.134 to 0.0283)"
1,93,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.009086195,-0.009001686,-0.0224647130817175,0.00473240204155445,"-0.0091
(-0.022 to 0.0047)","-0.00909
(-0.0225 to 0.00473)"
1,95,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03099269,-0.03070443,-0.07662633061409,0.016142051666975,"-0.031
(-0.077 to 0.016)","-0.0310
(-0.0766 to 0.0161)"
1,97,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-1.48298,-1.469187,-3.66652035713196,0.772386789321899,"-1.5
(-3.7 to 0.77)","-1.48
(-3.67 to 0.772)"
1,99,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05236502,-0.05187798,-0.129467308521271,0.0272734947502613,"-0.052
(-0.13 to 0.027)","-0.0524
(-0.129 to 0.0273)"
1,101,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.6062938,-0.6006547,-1.49900102615356,0.31577855348587,"-0.61
(-1.5 to 0.32)","-0.606
(-1.50 to 0.316)"
1,103,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.09978726,-0.09885916,-0.246714055538177,0.0519726201891899,"-0.10
(-0.25 to 0.052)","-0.0998
(-0.247 to 0.0520)"
1,105,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04122624,-0.0408428,-0.101927772164345,0.0214720349758863,"-0.041
(-0.10 to 0.021)","-0.0412
(-0.102 to 0.0215)"
1,107,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05608639,-0.05556475,-0.138668030500412,0.0292117148637772,"-0.056
(-0.14 to 0.029)","-0.0561
(-0.139 to 0.0292)"
1,109,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05049153,-0.05002192,-0.124835267663002,0.0262977201491594,"-0.050
(-0.12 to 0.026)","-0.0505
(-0.125 to 0.0263)"
